Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2024-10-04,1:00 PM,New Jersey Devils,4,Buffalo Sabres,1,,16913,2:27,at O2 Arena (Prague CZ)
2024-10-05,10:00 AM,Buffalo Sabres,1,New Jersey Devils,3,,16722,2:26,at O2 Arena (Prague CZ)
2024-10-08,7:00 PM,Boston Bruins,4,Florida Panthers,6,,19813,2:39,
2024-10-08,4:30 PM,St. Louis Blues,3,Seattle Kraken,2,,17151,2:37,
2024-10-08,10:00 PM,Chicago Blackhawks,2,Utah Hockey Club,5,,11131,2:30,
2024-10-09,10:00 PM,Winnipeg Jets,6,Edmonton Oilers,0,,18347,2:18,
2024-10-09,7:00 PM,Toronto Maple Leafs,0,Montreal Canadiens,1,,21105,2:18,
2024-10-09,7:30 PM,New York Rangers,6,Pittsburgh Penguins,0,,18190,2:29,
2024-10-09,10:00 PM,Calgary Flames,6,Vancouver Canucks,5,OT,18850,2:44,
2024-10-09,10:00 PM,Colorado Avalanche,4,Vegas Golden Knights,8,,18388,2:27,
2024-10-10,7:00 PM,Montreal Canadiens,4,Boston Bruins,6,,17850,2:44,
2024-10-10,7:00 PM,Los Angeles Kings,3,Buffalo Sabres,1,,19070,2:38,
2024-10-10,8:00 PM,Pittsburgh Penguins,6,Detroit Red Wings,3,,19515,2:36,
2024-10-10,8:00 PM,Columbus Blue Jackets,2,Minnesota Wild,3,,18613,2:29,
2024-10-10,7:00 PM,Toronto Maple Leafs,4,New Jersey Devils,2,,16764,2:24,
2024-10-10,8:00 PM,Dallas Stars,4,Nashville Predators,3,,17544,2:32,
2024-10-10,7:30 PM,Utah Hockey Club,5,New York Islanders,4,OT,17255,2:41,
2024-10-10,7:00 PM,Florida Panthers,1,Ottawa Senators,3,,19346,2:22,
2024-10-10,10:30 PM,St. Louis Blues,5,San Jose Sharks,4,OT,17435,2:32,
2024-10-11,7:00 PM,Tampa Bay Lightning,4,Carolina Hurricanes,1,,18817,2:35,
2024-10-11,10:00 PM,Philadelphia Flyers,3,Vancouver Canucks,2,SO,18875,2:47,
2024-10-11,10:00 PM,St. Louis Blues,3,Vegas Golden Knights,4,,17861,2:25,
2024-10-11,8:00 PM,Chicago Blackhawks,1,Winnipeg Jets,2,OT,14564,2:26,
2024-10-12,1:00 PM,Los Angeles Kings,1,Boston Bruins,2,OT,17850,2:28,
2024-10-12,7:00 PM,Florida Panthers,2,Buffalo Sabres,5,,16644,2:27,
2024-10-12,10:00 PM,Philadelphia Flyers,3,Calgary Flames,6,,19289,2:38,
2024-10-12,9:00 PM,Columbus Blue Jackets,6,Colorado Avalanche,4,,18080,2:35,
2024-10-12,8:00 PM,New York Islanders,0,Dallas Stars,3,,18532,2:25,
2024-10-12,7:00 PM,Nashville Predators,0,Detroit Red Wings,3,,19515,2:37,
2024-10-12,10:00 PM,Chicago Blackhawks,5,Edmonton Oilers,2,,18347,2:28,
2024-10-12,8:00 PM,Seattle Kraken,5,Minnesota Wild,4,SO,18421,2:43,
2024-10-12,7:00 PM,Ottawa Senators,1,Montreal Canadiens,4,,21105,2:31,
2024-10-12,7:00 PM,Utah Hockey Club,6,New York Rangers,5,OT,18006,2:45,
2024-10-12,10:00 PM,Anaheim Ducks,2,San Jose Sharks,0,,17016,2:28,
2024-10-12,7:00 PM,Pittsburgh Penguins,2,Toronto Maple Leafs,4,,18934,2:21,
2024-10-12,7:00 PM,New Jersey Devils,5,Washington Capitals,3,,18573,2:31,
2024-10-13,8:00 PM,Seattle Kraken,0,Dallas Stars,2,,18532,2:23,
2024-10-13,8:00 PM,Calgary Flames,4,Edmonton Oilers,1,,18347,2:29,
2024-10-13,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,3,,18027,2:19,
2024-10-13,6:00 PM,Minnesota Wild,1,Winnipeg Jets,2,OT,12916,2:28,
2024-10-14,1:00 PM,Florida Panthers,4,Boston Bruins,3,,17850,2:36,
2024-10-14,9:00 PM,New York Islanders,6,Colorado Avalanche,2,,18017,2:41,
2024-10-14,7:30 PM,Pittsburgh Penguins,6,Montreal Canadiens,3,,21105,2:22,
2024-10-14,1:00 PM,Utah Hockey Club,0,New Jersey Devils,3,,16514,2:20,
2024-10-14,7:00 PM,Detroit Red Wings,1,New York Rangers,4,,17510,2:35,
2024-10-14,1:00 PM,Los Angeles Kings,7,Ottawa Senators,8,OT,16788,2:49,
2024-10-15,7:00 PM,New Jersey Devils,2,Carolina Hurricanes,4,,18700,2:24,
2024-10-15,7:00 PM,Florida Panthers,4,Columbus Blue Jackets,3,,18484,2:27,
2024-10-15,9:00 PM,Chicago Blackhawks,1,Calgary Flames,3,,16242,2:27,
2024-10-15,8:00 PM,San Jose Sharks,2,Dallas Stars,3,SO,18532,2:36,
2024-10-15,10:00 PM,Philadelphia Flyers,3,Edmonton Oilers,4,OT,18347,2:46,
2024-10-15,8:00 PM,Seattle Kraken,7,Nashville Predators,3,,17159,2:34,
2024-10-15,7:30 PM,Minnesota Wild,4,St. Louis Blues,1,,18096,2:25,
2024-10-15,7:00 PM,Vancouver Canucks,1,Tampa Bay Lightning,4,,19092,2:28,
2024-10-15,7:00 PM,Vegas Golden Knights,2,Washington Capitals,4,,16727,2:28,
2024-10-16,10:00 PM,Utah Hockey Club,4,Anaheim Ducks,5,OT,17245,2:44,
2024-10-16,9:30 PM,Boston Bruins,5,Colorado Avalanche,3,,18024,2:34,
2024-10-16,7:00 PM,Buffalo Sabres,5,Pittsburgh Penguins,6,OT,15644,2:42,
2024-10-16,7:30 PM,Los Angeles Kings,2,Toronto Maple Leafs,6,,18852,2:29,
2024-10-17,7:00 PM,Buffalo Sabres,4,Columbus Blue Jackets,6,,16126,2:25,
2024-10-17,8:30 PM,San Jose Sharks,2,Chicago Blackhawks,4,,19056,2:26,
2024-10-17,7:30 PM,New York Rangers,5,Detroit Red Wings,2,,19515,2:33,
2024-10-17,7:00 PM,Vancouver Canucks,3,Florida Panthers,2,OT,17865,2:40,
2024-10-17,7:00 PM,Los Angeles Kings,4,Montreal Canadiens,1,,21105,2:30,
2024-10-17,8:00 PM,Edmonton Oilers,4,Nashville Predators,2,,17159,2:39,
2024-10-17,7:00 PM,New Jersey Devils,3,Ottawa Senators,1,,15192,2:21,
2024-10-17,10:00 PM,Philadelphia Flyers,4,Seattle Kraken,6,,17151,2:31,
2024-10-17,8:00 PM,New York Islanders,0,St. Louis Blues,1,OT,17109,2:20,
2024-10-17,7:00 PM,Vegas Golden Knights,3,Tampa Bay Lightning,4,,19092,2:22,
2024-10-17,7:00 PM,Dallas Stars,2,Washington Capitals,3,,17034,2:33,
2024-10-18,9:00 PM,Anaheim Ducks,3,Colorado Avalanche,4,OT,18071,2:37,
2024-10-18,7:00 PM,Carolina Hurricanes,4,Pittsburgh Penguins,1,,17074,2:24,
2024-10-18,8:00 PM,San Jose Sharks,3,Winnipeg Jets,8,,13422,2:23,
2024-10-19,7:00 PM,Minnesota Wild,3,Columbus Blue Jackets,1,,16876,2:25,
2024-10-19,8:00 PM,Buffalo Sabres,4,Chicago Blackhawks,2,,18773,2:27,
2024-10-19,4:00 PM,Edmonton Oilers,1,Dallas Stars,4,,18532,2:25,
2024-10-19,6:00 PM,Vegas Golden Knights,3,Florida Panthers,4,OT,19572,2:35,
2024-10-19,7:00 PM,Washington Capitals,6,New Jersey Devils,5,OT,16514,2:42,
2024-10-19,2:00 PM,Detroit Red Wings,5,Nashville Predators,2,,17159,2:39,
2024-10-19,7:00 PM,Montreal Canadiens,3,New York Islanders,4,SO,15411,2:46,
2024-10-19,1:00 PM,Tampa Bay Lightning,4,Ottawa Senators,5,,16188,2:34,
2024-10-19,7:00 PM,Vancouver Canucks,3,Philadelphia Flyers,0,,19083,2:31,
2024-10-19,10:00 PM,Calgary Flames,1,Seattle Kraken,2,OT,17151,2:33,
2024-10-19,7:00 PM,Carolina Hurricanes,3,St. Louis Blues,4,,18096,2:38,
2024-10-19,7:00 PM,New York Rangers,4,Toronto Maple Leafs,1,,18988,2:24,
2024-10-19,9:00 PM,Boston Bruins,1,Utah Hockey Club,2,OT,11131,2:30,
2024-10-20,8:00 PM,Los Angeles Kings,4,Anaheim Ducks,1,,16098,2:22,
2024-10-20,8:00 PM,Colorado Avalanche,4,San Jose Sharks,1,,14125,2:32,
2024-10-20,3:00 PM,Pittsburgh Penguins,3,Winnipeg Jets,6,,13760,2:27,
2024-10-21,7:30 PM,Tampa Bay Lightning,2,Toronto Maple Leafs,5,,18356,2:29,
2024-10-22,10:15 PM,San Jose Sharks,1,Anaheim Ducks,3,,17174,2:40,
2024-10-22,7:00 PM,Dallas Stars,2,Buffalo Sabres,4,,13014,2:18,
2024-10-22,7:30 PM,Toronto Maple Leafs,2,Columbus Blue Jackets,6,,14852,2:33,
2024-10-22,9:30 PM,Pittsburgh Penguins,3,Calgary Flames,4,SO,17025,2:52,
2024-10-22,8:15 PM,Vancouver Canucks,6,Chicago Blackhawks,3,,17118,2:32,
2024-10-22,9:00 PM,Carolina Hurricanes,3,Edmonton Oilers,2,OT,18347,2:31,
2024-10-22,6:30 PM,Minnesota Wild,5,Florida Panthers,1,,18264,2:22,
2024-10-22,7:15 PM,New York Rangers,7,Montreal Canadiens,2,,21105,2:28,
2024-10-22,6:45 PM,Tampa Bay Lightning,8,New Jersey Devils,5,,15410,2:42,
2024-10-22,8:45 PM,Boston Bruins,0,Nashville Predators,4,,17184,2:26,
2024-10-22,7:45 PM,Detroit Red Wings,1,New York Islanders,0,,12739,2:28,
2024-10-22,6:00 PM,Washington Capitals,4,Philadelphia Flyers,1,,18132,2:26,
2024-10-22,8:30 PM,Colorado Avalanche,3,Seattle Kraken,2,,17151,2:24,
2024-10-22,8:00 PM,Winnipeg Jets,3,St. Louis Blues,2,,17335,2:22,
2024-10-22,9:15 PM,Ottawa Senators,4,Utah Hockey Club,0,,11131,2:27,
2024-10-22,11:00 PM,Los Angeles Kings,1,Vegas Golden Knights,6,,17767,2:27,
2024-10-23,7:30 PM,Philadelphia Flyers,3,Washington Capitals,6,,17254,2:44,
2024-10-24,7:00 PM,Dallas Stars,5,Boston Bruins,2,,17850,2:27,
2024-10-24,9:00 PM,Carolina Hurricanes,4,Calgary Flames,2,,16404,2:35,
2024-10-24,7:00 PM,New Jersey Devils,3,Detroit Red Wings,5,,19515,2:36,
2024-10-24,10:30 PM,San Jose Sharks,2,Los Angeles Kings,3,,18146,2:30,
2024-10-24,7:00 PM,Florida Panthers,3,New York Rangers,1,,18006,2:23,
2024-10-24,10:00 PM,Winnipeg Jets,4,Seattle Kraken,3,OT,17151,2:38,
2024-10-24,7:00 PM,Minnesota Wild,4,Tampa Bay Lightning,2,,19092,2:29,
2024-10-24,7:00 PM,St. Louis Blues,5,Toronto Maple Leafs,1,,18414,2:29,
2024-10-24,9:00 PM,Colorado Avalanche,5,Utah Hockey Club,1,,11131,2:28,
2024-10-25,8:30 PM,Nashville Predators,3,Chicago Blackhawks,2,,17787,2:36,
2024-10-25,9:00 PM,Pittsburgh Penguins,0,Edmonton Oilers,4,,18347,2:25,
2024-10-25,7:00 PM,New York Islanders,4,New Jersey Devils,3,OT,14870,2:33,
2024-10-25,6:00 PM,Ottawa Senators,4,Vegas Golden Knights,6,,17564,2:37,
2024-10-26,7:00 PM,Toronto Maple Leafs,3,Boston Bruins,4,OT,17850,2:38,
2024-10-26,1:00 PM,Detroit Red Wings,3,Buffalo Sabres,5,,15017,2:34,
2024-10-26,7:00 PM,Winnipeg Jets,5,Calgary Flames,3,,16886,2:36,
2024-10-26,8:00 PM,Chicago Blackhawks,2,Dallas Stars,4,,18532,2:22,
2024-10-26,4:00 PM,Utah Hockey Club,2,Los Angeles Kings,3,,15116,2:30,
2024-10-26,7:00 PM,St. Louis Blues,2,Montreal Canadiens,5,,21105,2:26,
2024-10-26,8:00 PM,Columbus Blue Jackets,3,Nashville Predators,4,OT,17159,2:31,
2024-10-26,7:30 PM,Florida Panthers,6,New York Islanders,3,,15807,2:31,
2024-10-26,7:00 PM,Anaheim Ducks,1,New York Rangers,2,,18006,2:32,
2024-10-26,1:00 PM,Minnesota Wild,5,Philadelphia Flyers,7,,18238,2:33,
2024-10-26,10:00 PM,Carolina Hurricanes,4,Seattle Kraken,1,,17151,2:28,
2024-10-26,7:00 PM,Washington Capitals,0,Tampa Bay Lightning,3,,19092,2:37,
2024-10-26,10:00 PM,Pittsburgh Penguins,3,Vancouver Canucks,4,,18748,2:25,
2024-10-26,10:00 PM,San Jose Sharks,3,Vegas Golden Knights,7,,17686,2:26,
2024-10-27,9:00 PM,Ottawa Senators,4,Colorado Avalanche,5,,18020,2:33,
2024-10-27,6:00 PM,Edmonton Oilers,3,Detroit Red Wings,2,OT,19515,2:31,
2024-10-27,7:00 PM,Anaheim Ducks,2,New Jersey Devils,6,,14344,2:31,
2024-10-27,7:00 PM,Montreal Canadiens,4,Philadelphia Flyers,3,,17440,2:31,
2024-10-28,7:00 PM,Florida Panthers,5,Buffalo Sabres,2,,12906,2:33,
2024-10-28,7:00 PM,Edmonton Oilers,1,Columbus Blue Jackets,6,,15237,2:24,
2024-10-28,9:00 PM,Chicago Blackhawks,5,Colorado Avalanche,2,,18010,2:25,
2024-10-28,7:30 PM,Nashville Predators,2,Tampa Bay Lightning,3,OT,19092,2:39,
2024-10-28,9:00 PM,San Jose Sharks,5,Utah Hockey Club,4,OT,11131,2:41,
2024-10-28,10:00 PM,Carolina Hurricanes,4,Vancouver Canucks,3,OT,18682,2:33,
2024-10-28,10:00 PM,Calgary Flames,0,Vegas Golden Knights,5,,17599,2:27,
2024-10-28,7:30 PM,Toronto Maple Leafs,6,Winnipeg Jets,4,,15225,2:29,
2024-10-29,7:00 PM,Philadelphia Flyers,2,Boston Bruins,0,,17850,2:30,
2024-10-29,7:00 PM,Seattle Kraken,8,Montreal Canadiens,2,,21105,2:37,
2024-10-29,7:00 PM,Anaheim Ducks,3,New York Islanders,1,,14234,2:27,
2024-10-29,7:00 PM,St. Louis Blues,1,Ottawa Senators,8,,15784,2:29,
2024-10-29,7:00 PM,Minnesota Wild,5,Pittsburgh Penguins,3,,18195,2:28,
2024-10-29,10:00 PM,Los Angeles Kings,2,San Jose Sharks,4,,10818,2:26,
2024-10-29,7:30 PM,New York Rangers,3,Washington Capitals,5,,17390,2:31,
2024-10-30,7:00 PM,New York Islanders,0,Columbus Blue Jackets,2,,14015,2:19,
2024-10-30,9:00 PM,Tampa Bay Lightning,5,Colorado Avalanche,2,,18019,2:31,
2024-10-30,7:30 PM,Winnipeg Jets,6,Detroit Red Wings,2,,18780,2:21,
2024-10-30,10:00 PM,Vegas Golden Knights,3,Los Angeles Kings,6,,15007,2:27,
2024-10-30,9:30 PM,Calgary Flames,1,Utah Hockey Club,5,,11131,2:32,
2024-10-30,10:30 PM,New Jersey Devils,6,Vancouver Canucks,0,,18717,2:24,
2024-10-31,7:00 PM,Boston Bruins,2,Carolina Hurricanes,8,,18700,2:39,
2024-10-31,8:00 PM,Edmonton Oilers,5,Nashville Predators,1,,17159,2:24,
2024-10-31,7:00 PM,St. Louis Blues,1,Philadelphia Flyers,2,,14122,2:14,
2024-10-31,7:00 PM,Anaheim Ducks,1,Pittsburgh Penguins,2,OT,14945,2:32,
2024-10-31,10:30 PM,Chicago Blackhawks,2,San Jose Sharks,3,,10315,2:15,
2024-10-31,7:00 PM,Seattle Kraken,1,Toronto Maple Leafs,4,,18181,2:23,
2024-10-31,7:00 PM,Montreal Canadiens,3,Washington Capitals,6,,15789,2:41,
2024-11-01,7:00 PM,New York Islanders,4,Buffalo Sabres,3,,17074,2:33,
2024-11-01,7:00 PM,Winnipeg Jets,6,Columbus Blue Jackets,2,,15823,2:24,
2024-11-01,9:00 PM,New Jersey Devils,0,Calgary Flames,3,,16275,2:32,
2024-11-01,2:00 PM,Florida Panthers,6,Dallas Stars,4,,12786,2:33,at Nokia Arena (Tampere FI)
2024-11-01,8:00 PM,Tampa Bay Lightning,3,Minnesota Wild,5,,18104,2:27,
2024-11-01,7:00 PM,Ottawa Senators,1,New York Rangers,2,,18006,2:29,
2024-11-02,7:00 PM,Buffalo Sabres,1,Detroit Red Wings,2,,19515,2:27,
2024-11-02,12:00 PM,Dallas Stars,2,Florida Panthers,4,,12807,2:28,at Nokia Arena (Tampere FI)
2024-11-02,4:00 PM,Chicago Blackhawks,4,Los Angeles Kings,3,SO,17314,2:33,
2024-11-02,8:00 PM,Colorado Avalanche,2,Nashville Predators,5,,17213,2:31,
2024-11-02,7:00 PM,Seattle Kraken,0,Ottawa Senators,3,,17274,2:24,
2024-11-02,1:00 PM,Boston Bruins,3,Philadelphia Flyers,0,,17429,2:26,
2024-11-02,7:00 PM,Montreal Canadiens,1,Pittsburgh Penguins,3,,17362,2:27,
2024-11-02,10:00 PM,Vancouver Canucks,3,San Jose Sharks,2,,17435,2:20,
2024-11-02,7:00 PM,Toronto Maple Leafs,2,St. Louis Blues,4,,18096,2:25,
2024-11-02,10:00 PM,Utah Hockey Club,3,Vegas Golden Knights,4,OT,18216,2:28,
2024-11-02,5:00 PM,Columbus Blue Jackets,2,Washington Capitals,7,,17666,2:27,
2024-11-03,8:00 PM,Chicago Blackhawks,4,Anaheim Ducks,2,,16352,2:23,
2024-11-03,5:00 PM,Seattle Kraken,0,Boston Bruins,2,,17850,2:38,
2024-11-03,5:00 PM,Washington Capitals,2,Carolina Hurricanes,4,,18796,2:32,
2024-11-03,8:00 PM,Edmonton Oilers,4,Calgary Flames,2,,19289,2:33,
2024-11-03,6:00 PM,Toronto Maple Leafs,1,Minnesota Wild,2,OT,18096,2:31,
2024-11-03,1:00 PM,New York Islanders,2,New York Rangers,5,,18006,2:32,
2024-11-03,3:00 PM,Tampa Bay Lightning,4,Winnipeg Jets,7,,12912,2:36,
2024-11-04,8:30 PM,New Jersey Devils,3,Edmonton Oilers,0,,18347,2:22,
2024-11-04,8:00 PM,Los Angeles Kings,3,Nashville Predators,0,,17168,2:30,
2024-11-05,10:00 PM,Vancouver Canucks,5,Anaheim Ducks,1,,13538,2:30,
2024-11-05,7:00 PM,Ottawa Senators,1,Buffalo Sabres,5,,12260,2:36,
2024-11-05,7:00 PM,Philadelphia Flyers,4,Carolina Hurricanes,6,,18700,2:27,
2024-11-05,9:00 PM,Seattle Kraken,3,Colorado Avalanche,6,,18014,2:32,
2024-11-05,8:00 PM,Los Angeles Kings,5,Minnesota Wild,1,,17617,2:30,
2024-11-05,7:00 PM,Calgary Flames,3,Montreal Canadiens,2,OT,21105,2:34,
2024-11-05,7:30 PM,Pittsburgh Penguins,3,New York Islanders,4,SO,14025,2:45,
2024-11-05,10:30 PM,Columbus Blue Jackets,1,San Jose Sharks,2,OT,10376,2:29,
2024-11-05,8:00 PM,Tampa Bay Lightning,2,St. Louis Blues,3,,17161,2:22,
2024-11-05,7:00 PM,Boston Bruins,0,Toronto Maple Leafs,4,,18730,2:35,
2024-11-05,8:00 PM,Utah Hockey Club,0,Winnipeg Jets,3,,12932,2:26,
2024-11-06,8:00 PM,Detroit Red Wings,4,Chicago Blackhawks,1,,19984,2:24,
2024-11-06,8:30 PM,Vegas Golden Knights,4,Edmonton Oilers,2,,18347,2:27,
2024-11-06,7:00 PM,Nashville Predators,2,Washington Capitals,3,,17177,2:44,
2024-11-07,7:00 PM,Calgary Flames,3,Boston Bruins,4,OT,17850,2:40,
2024-11-07,7:00 PM,Pittsburgh Penguins,1,Carolina Hurricanes,5,,18700,2:21,
2024-11-07,8:00 PM,Chicago Blackhawks,1,Dallas Stars,3,,18532,2:23,
2024-11-07,7:00 PM,Nashville Predators,2,Florida Panthers,6,,18264,2:38,
2024-11-07,10:30 PM,Vancouver Canucks,4,Los Angeles Kings,2,,17855,2:24,
2024-11-07,7:00 PM,Montreal Canadiens,3,New Jersey Devils,5,,16514,2:25,
2024-11-07,7:00 PM,Buffalo Sabres,6,New York Rangers,1,,18006,2:28,
2024-11-07,7:00 PM,New York Islanders,4,Ottawa Senators,2,,15677,2:26,
2024-11-07,10:30 PM,Minnesota Wild,5,San Jose Sharks,2,,10526,2:28,
2024-11-07,8:00 PM,Utah Hockey Club,4,St. Louis Blues,2,,17528,2:40,
2024-11-07,7:30 PM,Philadelphia Flyers,2,Tampa Bay Lightning,1,SO,19092,2:31,
2024-11-07,8:00 PM,Colorado Avalanche,0,Winnipeg Jets,1,,12918,2:29,
2024-11-08,10:00 PM,Minnesota Wild,5,Anaheim Ducks,2,,14706,2:22,
2024-11-08,10:00 PM,Vegas Golden Knights,3,Seattle Kraken,4,OT,17151,2:28,
2024-11-08,7:00 PM,Detroit Red Wings,1,Toronto Maple Leafs,3,,19152,2:27,
2024-11-08,7:30 PM,Pittsburgh Penguins,4,Washington Capitals,2,,18573,2:29,
2024-11-09,7:00 PM,Ottawa Senators,3,Boston Bruins,2,OT,17850,2:32,
2024-11-09,1:00 PM,Calgary Flames,2,Buffalo Sabres,3,SO,16442,2:44,
2024-11-09,9:00 PM,Carolina Hurricanes,4,Colorado Avalanche,6,,18089,2:38,
2024-11-09,7:00 PM,New York Rangers,4,Detroit Red Wings,0,,19515,2:32,
2024-11-09,6:00 PM,Philadelphia Flyers,3,Florida Panthers,4,SO,19547,2:50,
2024-11-09,9:00 PM,Columbus Blue Jackets,2,Los Angeles Kings,5,,18145,2:24,
2024-11-09,8:00 PM,Utah Hockey Club,0,Nashville Predators,4,,17159,2:27,
2024-11-09,7:30 PM,New Jersey Devils,4,New York Islanders,3,OT,17255,2:25,
2024-11-09,7:00 PM,Washington Capitals,8,St. Louis Blues,1,,18096,2:26,
2024-11-09,7:00 PM,Montreal Canadiens,1,Toronto Maple Leafs,4,,19277,2:32,
2024-11-09,10:00 PM,Edmonton Oilers,7,Vancouver Canucks,3,,18714,2:31,
2024-11-09,3:00 PM,Dallas Stars,1,Winnipeg Jets,4,,15225,2:28,